22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10

22,1
34,2
54,3
67,4
78,5
87,6
67,7
45,8
34,9
23,10
